HOME,DATE,INOUT,GRASSTURF,SPREAD,OULINE,OUACTUAL,TEMPERATURE,RELHUMIDITY,WINDSPEED,WINDCHILL,AWAY
TB,20091018,outdoors,grass,-3,40.5,49,64,54,17,62.31418057,CAR
ATL,20091018,Indoors,fieldturf,-3.5,45.5,35,69.5,37.5,0,69.5,CHI
OAK,20091018,outdoors,grass,-14,40.5,22,62,73,15,60.01424795,PHI
NO,20091018,Indoors,fieldturf,-3,47.5,75,69.5,37.5,0,69.5,NYG
MIN,20091018,Indoors,fieldturf,-3,45.5,64,69.5,37.5,0,69.5,BAL
JAC,20091018,outdoors,grass,-9.5,42.5,43,57,53,17,53.25492674,STL
NE,20091018,outdoors,fieldturf,-9,37.5,59,39,94,13,31.2209159,TEN
WAS,20091018,outdoors,grass,-6.5,36.5,20,45,79,13,38.81641849,KC
CIN,20091018,outdoors,fieldturf,-3.5,46.5,45,49,47,2,49,HOU
GB,20091018,outdoors,grass,-14,48,26,46,65,13,40.08233559,DET
NYJ,20091018,outdoors,fieldturf,-9.5,35.5,29,44,37,18,36.18570722,BUF
PIT,20091018,outdoors,dessograss,-14,38,41,41,77,9,35.32227549,CLE
SD,20091019,outdoors,grass,-3.5,45,57,68,73,8,68,DEN
DAL,20091025,Indoors,fieldturf,-5,48,58,69.5,37.5,0,69.5,ATL
CIN,20091025,outdoors,fieldturf,-2,43,55,61,40,7,60.44601292,CHI
MIA,20091025,outdoors,grass,-6.5,48,80,89,57,2,89,NO
STL,20091025,Indoors,fieldturf,-14.5,45,48,69.5,37.5,0,69.5,IND
NYG,20091025,outdoors,fieldturf,-8,47,41,57,43,3,57,ARI
OAK,20091025,outdoors,grass,-6,34,38,70,53,6,70,NYJ
CLE,20091025,outdoors,grass,-9,41.5,34,50,45,12,45.42174574,GB
KC,20091025,outdoors,grass,-5.5,44,44,58,64,10,55.95220731,SD
HOU,20091025,Indoors,grass,-3,44.5,45,69.5,37.5,0,69.5,SF
CAR,20091025,outdoors,grass,-7,37,29,67,49,9,67,BUF
PIT,20091025,outdoors,dessograss,-6,46.5,44,52,57,5,50.56711065,MIN
TB,20091025,outdoors,grass,-15.5,44.5,42,59,59,16,56.00318978,NE
WAS,20091026,outdoors,grass,-9,38,44,57,47,0,57,PHI
DAL,20091101,Indoors,fieldturf,-9.5,46,55,69.5,37.5,0,69.5,SEA
DET,20091101,Indoors,fieldturf,-4,43.5,27,69.5,37.5,0,69.5,STL
GB,20091101,outdoors,grass,-3,47,64,48,56,6,45.28564116,MIN
IND,20091101,Indoors,fieldturf,-13.5,44.5,32,69.5,37.5,0,69.5,SF
ARI,20091101,Indoors,grass,-10,41,55,69.5,37.5,0,69.5,CAR
CHI,20091101,outdoors,grass,-13.5,40,36,50,46,8,46.7655598,CLE
BAL,20091101,outdoors,sportturf,-3.5,42,37,56,75,8,54.0720773,DEN
TEN,20091101,outdoors,grass,-3,44.5,43,59,40,11,56.95780286,JAC
NYJ,20091101,outdoors,fieldturf,-3.5,40.5,55,54,65,10,50.9945053,MIA
BUF,20091101,outdoors,astroplay,-3.5,41.5,41,49,47,5,47.0434342,HOU
PHI,20091101,outdoors,grass,-1,44.5,57,56,55,10,53.47335631,NYG
SD,20091101,outdoors,grass,-16.5,41.5,40,78,26,8,78,OAK
NO,20091102,Indoors,fieldturf,-12,56,62,69.5,37.5,0,69.5,ATL
SF,20091108,outdoors,grass,-4,40.5,61,63,57,5,63,TEN
CIN,20091108,outdoors,fieldturf,-3,44.5,24,67,48,7,67,BAL
ATL,20091108,Indoors,fieldturf,-9,41,48,69.5,37.5,0,69.5,WAS
NE,20091108,outdoors,fieldturf,-10.5,46.5,44,65,44,8,65,MIA
JAC,20091108,outdoors,grass,-7,41.5,45,75,55,12,75,KC
IND,20091108,Indoors,fieldturf,-8.5,49.5,37,69.5,37.5,0,69.5,HOU
NO,20091108,Indoors,fieldturf,-13,51.5,50,69.5,37.5,0,69.5,CAR
CHI,20091108,outdoors,grass,-3,44.5,62,65,71,12,64.28749743,ARI
PHI,20091108,outdoors,grass,-3,50,36,61,61,1,61,DAL
SEA,20091108,outdoors,fieldturf,-10,42,52,48,80,11,43.21967348,DET
TB,20091108,outdoors,grass,-9.5,43.5,66,82,48,13,82,GB
NYG,20091108,outdoors,fieldturf,-4.5,48,41,71,39,2,71,SD
DEN,20091109,outdoors,grass,-3,41.5,38,55,37,7,53.21511843,PIT
SF,20091112,outdoors,grass,-3,43.5,16,60,51,18,56.99145472,CHI
STL,20091115,Indoors,fieldturf,-14.5,51,51,69.5,37.5,0,69.5,NO
IND,20091115,Indoors,fieldturf,-1.5,48.5,69,69.5,37.5,0,69.5,NE
SD,20091115,outdoors,grass,-1.5,47,54,71,58,8,71,PHI
ARI,20091115,Indoors,grass,-8.5,46.5,51,69.5,37.5,0,69.5,SEA
MIA,20091115,outdoors,grass,-10,43.5,48,80,43,9,80,TB
OAK,20091115,outdoors,grass,-2.5,36,26,60,47,5,59.96358118,KC
NYJ,20091115,outdoors,fieldturf,-6.5,41,46,62,88,5,62,JAC
CAR,20091115,outdoors,grass,-1,43.5,47,73,80,3,73,ATL
TEN,20091115,outdoors,grass,-7.5,41,58,68,50,5,68,BUF
PIT,20091115,outdoors,dessograss,-6.5,41.5,30,64,55,4,64,CIN
GB,20091115,outdoors,grass,-3,48,24,47,43,10,42.31852679,DAL
WAS,20091115,outdoors,grass,-3.5,36.5,44,70,77,0,70,DEN
MIN,20091115,Indoors,fieldturf,-17,47.5,37,69.5,37.5,0,69.5,DET
CLE,20091116,outdoors,grass,-11,39,16,46,0,16,39.26327547,BAL
CAR,20091119,outdoors,grass,-3.5,42,41,56,81,2,56,MIA
CHI,20091122,outdoors,grass,-3.5,47,44,47,87,5,44.69431657,PHI
KC,20091122,outdoors,grass,-11.5,39.5,51,55,62,5,54.0907871,PIT
DEN,20091122,outdoors,grass,-6,42,35,51,25,3,50.80866253,SD
MIN,20091122,Indoors,fieldturf,-11,47,44,69.5,37.5,0,69.5,SEA
GB,20091122,outdoors,grass,-6,42,54,53,77,13,48.94375528,SF
DAL,20091122,Indoors,fieldturf,-10.5,41.5,13,69.5,37.5,0,69.5,WAS
NE,20091122,outdoors,fieldturf,-11,45,45,45,68,10,39.83967579,NYJ
TB,20091122,outdoors,grass,-10.5,51,45,79,78,8,79,NO
NYG,20091122,outdoors,fieldturf,-7,46.5,65,53,54,10,49.7550798,ATL
JAC,20091122,outdoors,grass,-8.5,41,33,74,85,10,74,BUF
OAK,20091122,outdoors,grass,-8.5,36,37,54,84,8,51.63657147,CIN
DET,20091122,Indoors,fieldturf,-3,37.5,75,69.5,37.5,0,69.5,CLE
BAL,20091122,outdoors,sportturf,-1.5,44.5,32,56,52,7,54.42026751,IND
STL,20091122,Indoors,fieldturf,-9,47,34,69.5,37.5,0,69.5,ARI
HOU,20091123,Indoors,grass,-3.5,48,37,69.5,37.5,0,69.5,TEN
DEN,20091126,outdoors,grass,-4.5,43.5,32,57,15,0,57,NYG
DET,20091126,Indoors,fieldturf,-11.5,48,46,69.5,37.5,0,69.5,GB
DAL,20091126,Indoors,fieldturf,-13.5,40.5,31,69.5,37.5,0,69.5,OAK
BAL,20091129,outdoors,sportturf,-8,34,37,58,64,5,57.61446355,PIT
STL,20091129,Indoors,fieldturf,-3.5,42.5,44,69.5,37.5,0,69.5,SEA
ATL,20091129,Indoors,fieldturf,-12.5,46,37,69.5,37.5,0,69.5,TB
PHI,20091129,outdoors,grass,-10,40.5,51,56,52,10,53.47335631,WAS
BUF,20091129,outdoors,astroplay,-3.5,38.5,45,49,64,15,43.36330236,MIA
SD,20091129,outdoors,grass,-13.5,45,57,63,60,8,62.59634772,KC
SF,20091129,outdoors,grass,-3,42.5,23,68,20,0,68,JAC
TEN,20091129,outdoors,grass,-2,45.5,37,59,52,9,57.44600385,ARI
HOU,20091129,Indoors,grass,-3,48,62,69.5,37.5,0,69.5,IND
CIN,20091129,outdoors,fieldturf,-12,39.5,23,59,41,15,56.17172205,CLE
MIN,20091129,Indoors,fieldturf,-10,47,46,69.5,37.5,0,69.5,CHI
NYJ,20091129,outdoors,fieldturf,-3.5,41.5,23,53,44,9,50.07142773,CAR
NO,20091130,Indoors,fieldturf,-1.5,56.5,55,69.5,37.5,0,69.5,NE
BUF,20091203,Indoors,fieldturf,-3.5,37,32,69.5,37.5,0,69.5,NYJ
SEA,20091206,outdoors,fieldturf,-1,41.5,37,35,57,6,29.80355158,SF
CLE,20091206,outdoors,grass,-13.5,42.5,53,34,44,8,27.28151312,SD
CHI,20091206,outdoors,grass,-9,41,26,36,56,8,29.71701895,STL
PIT,20091206,outdoors,dessograss,-15,37,51,28,54,6,21.46704181,OAK
ATL,20091206,Indoors,fieldturf,-4,43.5,41,69.5,37.5,0,69.5,PHI
IND,20091206,Indoors,fieldturf,-6,47,44,69.5,37.5,0,69.5,TEN
CAR,20091206,outdoors,grass,-3.5,40,22,43,50,7,38.75332947,TB
MIA,20091206,outdoors,grass,-5,46.5,43,75,66,5,75,NE
NYG,20091206,outdoors,fieldturf,-1.5,45.5,55,37,46,8,30.93477187,DAL
KC,20091206,outdoors,grass,-6,39,57,37,45,6,32.18541151,DEN
CIN,20091206,outdoors,fieldturf,-13.5,42,36,34,49,7,27.90698775,DET
JAC,20091206,outdoors,grass,-1.5,47.5,41,54,71,6,52.43122096,HOU
ARI,20091206,Indoors,grass,-3,49,47,69.5,37.5,0,69.5,MIN
WAS,20091206,outdoors,grass,-8,47,63,36,52,9,29.17679539,NO
GB,20091207,outdoors,grass,-4,43,41,21,77,4,15.37057038,BAL
CLE,20091210,outdoors,grass,-10,34.5,19,15,0,25,-4.038858044,PIT
TB,20091213,outdoors,grass,-3.5,36.5,29,73,94,5,73,NYJ
NYG,20091213,outdoors,fieldturf,-1,42.5,83,42,91,0,42,PHI
TEN,20091213,outdoors,grass,-14,40,54,54,87,0,54,STL
DAL,20091213,Indoors,fieldturf,-3.5,48.5,37,69.5,37.5,0,69.5,SD
HOU,20091213,Indoors,grass,-7,45,41,69.5,37.5,0,69.5,SEA
OAK,20091213,outdoors,grass,-2.5,37.5,47,52,93,9,48.84233171,WAS
