HOME,DATE,INOUT,GRASSTURF,SPREAD,OULINE,OUACTUAL,TEMPERATURE,RELHUMIDITY,WINDSPEED,WINDCHILL,AWAY
OAK,20101010,outdoors,grass ,-7,44,62,67,0,0,67,SD
CIN,20101010,outdoors,fieldturf ,-7,38.5,45,81,32,2,81,TB
IND,20101010,Indoors,fieldturf ,-7.5,46.5,28,69.5,37.5,0,69.5,KC
BUF,20101010,outdoors,astroplay ,-2.5,41.5,62,62,52,10,60.90990932,JAC
WAS,20101010,outdoors,grass ,-3,45.5,29,72,46,0,72,GB
BAL,20101010,outdoors,fieldturf ,-8,39.5,48,67,40,6,67,DEN
CAR,20101010,outdoors,grass ,-3,33,29,81,29,2,81,CHI
CLE,20101010,outdoors,grass ,-3,41.5,30,71,0,9,71,ATL
NYJ,20101011,outdoors,fieldturf,-4.5,40,49,72,56,10,72,MIN
NE,20101017,outdoors,fieldturf ,-3,44.5,43,57,0,14,53.80276469,BAL
MIN,20101017,Indoors,sportturf,-1.5,44,45,69.5,37.5,0,69.5,DAL
CHI,20101017,outdoors,grass ,-6,38,43,61,49,9,59.90419589,SEA
STL,20101017,Indoors,astroplay ,-8.5,45,37,69.5,37.5,0,69.5,SD
SF,20101017,outdoors,grass ,-7,41,26,53,72,10,49.7550798,OAK
DEN,20101017,outdoors,grass ,-3.5,43,44,73,13,4,73,NYJ
TB,20101017,outdoors,grass ,-5.5,44,37,81,48,9,81,NO
GB,20101017,outdoors,grass ,-3,44,43,57,45,11,54.45996115,MIA
HOU,20101017,Indoors,grass ,-4.5,46,66,69.5,37.5,0,69.5,KC
NYG,20101017,outdoors,fieldturf,-10,45.5,48,63,44,9,62.36238793,DET
PHI,20101017,outdoors,grass ,-1.5,43,48,66,45,12,65.5452142,ATL
PIT,20101017,outdoors,grass ,-14,37.5,38,61,48,13,59.07109207,CLE
WAS,20101017,outdoors,grass ,-3,45,51,70,46,7,70,IND
JAC,20101018,outdoors,grass ,-3,43.5,33,70,0,8,70,TEN
SEA,20101024,outdoors,fieldturf ,-6.5,40.5,32,52,0,12,47.9371793,ARI
MIA,20101024,outdoors,grass ,-3,40.5,45,80,84,13,80,PIT
SD,20101024,outdoors,grass ,-1.5,49.5,43,69,68,7,69,NE
BAL,20101024,outdoors,fieldturf ,-12.5,40,71,70,52,5,70,BUF
CAR,20101024,outdoors,grass ,-2.5,35.5,43,75,57,9,75,SF
TB,20101024,outdoors,grass ,-3,39,35,84,62,9,84,STL
DEN,20101024,outdoors,grass ,-7,43,73,63,23,9,62.36238793,OAK
GB,20101024,outdoors,grass ,-2.5,44.5,52,58,96,4,58,MIN
KC,20101024,outdoors,grass ,-9,39,62,63,80,15,61.29508992,JAC
NO,20101024,Indoors,sportturf,-12.5,44,47,69.5,37.5,0,69.5,CLE
ATL,20101024,Indoors,fieldturf ,-3.5,43,71,69.5,37.5,0,69.5,CIN
CHI,20101024,outdoors,grass ,-3,40,31,67,65,11,66.94916968,WAS
TEN,20101024,outdoors,grass ,-3,42,56,78,39,22,78,PHI
DAL,20101025,Indoors,matrixturf,-3.5,45.5,76,69.5,37.5,0,69.5,NYG
ARI,20101031,Indoors,grass ,-3,38,73,69.5,37.5,0,69.5,TB
DET,20101031,Indoors,fieldturf ,-3,45,62,69.5,37.5,0,69.5,WAS
NE,20101031,outdoors,fieldturf ,-5.5,45,46,49,0,16,43.12633262,MIN
CIN,20101031,outdoors,fieldturf ,-1,44,36,54,57,11,50.7131986,MIA
DAL,20101031,Indoors,matrixturf,-6.5,44,52,69.5,37.5,0,69.5,JAC
STL,20101031,Indoors,astroplay ,-2.5,37,30,69.5,37.5,0,69.5,CAR
KC,20101031,outdoors,grass ,-7,46,23,51,60,13,46.41192108,BUF
SD,20101031,outdoors,grass ,-6,45,58,65,65,10,64.62818583,TEN
NYJ,20101031,outdoors,fieldturf,-6,42,9,57,41,15,53.61003811,GB
SF,20101031,outdoors,grass ,-2.5,41.5,40,54,0,6,52.43122096,DEN
NO,20101031,Indoors,sportturf,-1,45.5,30,69.5,37.5,0,69.5,PIT
OAK,20101031,outdoors,grass ,-2,40.5,36,66,60,5,66,SEA
IND,20101101,Indoors,fieldturf ,-5.5,51,47,69.5,37.5,0,69.5,HOU
HOU,20101107,Indoors,grass ,-3,49.5,52,69.5,37.5,0,69.5,SD
ATL,20101107,Indoors,fieldturf ,-9,45.5,48,69.5,37.5,0,69.5,TB
DET,20101107,Indoors,fieldturf ,-5.5,42,43,69.5,37.5,0,69.5,NYJ
SEA,20101107,outdoors,fieldturf ,-7.5,40.5,48,55,0,15,51.04835417,NYG
CLE,20101107,outdoors,grass ,-4,43.5,48,43,0,13,36.28458429,NE
CAR,20101107,outdoors,grass ,-6.5,40.5,37,50,33,7,47.18937303,NO
BUF,20101107,Indoors,astroplay ,-3,41.5,41,69.5,37.5,0,69.5,CHI
PHI,20101107,outdoors,grass ,-3,47,50,52,34,18,46.58858097,IND
MIN,20101107,Indoors,sportturf,-7.5,42.5,51,69.5,37.5,0,69.5,ARI
GB,20101107,outdoors,grass ,-7,45.5,52,43,62,3,41.75942975,DAL
OAK,20101107,outdoors,grass ,,41,43,62,82,9,61.13329191,KC
BAL,20101107,outdoors,fieldturf ,-5,41,36,50,38,11,45.71751518,MIA
CIN,20101108,outdoors,fieldturf ,-5.5,41.5,48,44,65,2,44,PIT
ATL,20101111,Indoors,fieldturf ,-1,44,47,69.5,37.5,0,69.5,BAL
ARI,20101114,Indoors,grass ,-4,41.5,54,69.5,37.5,0,69.5,SEA
SF,20101114,outdoors,grass ,-4.5,39,43,74,50,5,74,STL
MIA,20101114,outdoors,grass ,-1,43,46,79,46,9,79,TEN
CLE,20101114,outdoors,grass ,-3.5,37,46,46,77,17,39.01895644,NYJ
PIT,20101114,outdoors,grass ,-4.5,45,65,49,86,8,45.54780688,NE
CHI,20101114,outdoors,grass ,-1,41.5,40,44,57,22,35.30799608,MIN
DEN,20101114,outdoors,grass ,-1,44.5,78,43,34,6,39.33099132,KC
TB,20101114,outdoors,grass ,-7,37,47,73,57,7,73,CAR
IND,20101114,Indoors,fieldturf ,-7,47,40,69.5,37.5,0,69.5,CIN
NYG,20101114,outdoors,fieldturf,-12.5,46.5,53,60,45,8,58.94308897,DAL
BUF,20101114,outdoors,astroplay ,-1.5,45,26,58,36,12,55.48347997,DET
JAC,20101114,outdoors,grass ,,48.5,55,70,50,5,70,HOU
WAS,20101115,outdoors,grass ,-3.5,43.5,87,52,67,3,51.93981663,PHI
MIA,20101118,outdoors,grass ,-2,40,16,75,77,8,75,CHI
PHI,20101121,outdoors,grass ,-3.5,48,44,45,68,7,41.16362763,NYG
PIT,20101121,outdoors,grass ,-7,41,38,57,62,9,54.98781181,OAK
CAR,20101121,outdoors,grass ,-13.5,37,50,65,43,6,65,BAL
NO,20101121,Indoors,sportturf,-11,45,53,69.5,37.5,0,69.5,SEA
SF,20101121,outdoors,grass ,-3.5,41.5,21,54,65,25,48.10394164,TB
TEN,20101121,outdoors,grass ,-7,44.5,35,66,53,12,65.5452142,WAS
NYJ,20101121,outdoors,fieldturf,-6.5,46,57,46,37,1,46,HOU
MIN,20101121,Indoors,sportturf,-3,45,34,69.5,37.5,0,69.5,GB
DAL,20101121,Indoors,matrixturf,-7,44.5,54,69.5,37.5,0,69.5,DET
KC,20101121,outdoors,grass ,-7,45,44,66,65,20,64.59019152,ARI
NE,20101121,outdoors,fieldturf ,-4.5,50,59,37,0,6,32.18541151,IND
JAC,20101121,outdoors,grass ,-2.5,43,44,76,47,8,76,CLE
CIN,20101121,outdoors,fieldturf ,-4,41,80,65,56,16,63.72930407,BUF
STL,20101121,Indoors,astroplay ,-3.5,43.5,51,69.5,37.5,0,69.5,ATL
SD,20101122,outdoors,grass ,-9,50,49,55,69,5,54.0907871,DEN
DET,20101125,Indoors,fieldturf ,-7.5,50.5,69,69.5,37.5,0,69.5,NE
DAL,20101125,Indoors,matrixturf,-4.5,49,57,69.5,37.5,0,69.5,NO
NYJ,20101125,outdoors,fieldturf,-9.5,43.5,36,39,87,6,34.56727145,CIN
ATL,20101128,Indoors,fieldturf ,-2,48,37,69.5,37.5,0,69.5,GB
BAL,20101128,outdoors,fieldturf ,-7.5,41.5,27,48,37,3,47.41520024,TB
IND,20101128,Indoors,fieldturf ,-2,51,50,69.5,37.5,0,69.5,SD
DEN,20101128,outdoors,grass ,-3,45,69,45,23,12,39.13316185,STL
BUF,20101128,outdoors,astroplay ,-7,44,35,36,78,13,27.4231646,PIT
CHI,20101128,outdoors,grass ,-3.5,43,57,45,57,16,37.97558976,PHI
HOU,20101128,Indoors,grass ,-5,46.5,20,69.5,37.5,0,69.5,TEN
CLE,20101128,outdoors,grass ,-7.5,37.5,47,39,0,5,35.29784604,CAR
WAS,20101128,outdoors,grass ,-2.5,44,30,47,44,5,44.69431657,MIN
OAK,20101128,outdoors,grass ,-3,38,50,54,49,10,50.9945053,MIA
SEA,20101128,outdoors,fieldturf ,-2,45,66,43,0,1,43,KC
NYG,20101128,outdoors,fieldturf,-7.5,44,44,43,43,6,39.33099132,JAC
ARI,20101129,Indoors,grass ,-2,42,33,69.5,37.5,0,69.5,SF
PHI,20101202,outdoors,grass ,-8,49.5,58,36,55,5,31.77416959,HOU
NYG,20101205,outdoors,fieldturf,-7.5,43,38,33,51,17,22.19462789,WAS
ARI,20101205,Indoors,grass ,-3.5,44,25,69.5,37.5,0,69.5,STL
SD,20101205,outdoors,grass ,-13,44.5,41,67,39,5,67,OAK
BAL,20101205,outdoors,fieldturf ,-3,39,23,35,48,17,24.78298613,PIT
CIN,20101205,outdoors,fieldturf ,-7,45.5,64,32,68,12,22.78284373,NO
TEN,20101205,outdoors,grass ,-3,43.5,23,35,70,11,26.98370239,JAC
GB,20101205,outdoors,grass ,-9,41,50,26,60,16,13.50956116,SF
KC,20101205,outdoors,grass ,-8,48.5,16,26,55,8,17.53948978,DEN
TB,20101205,outdoors,grass ,-3,43.5,52,72,53,9,72,ATL
MIN,20101205,Indoors,sportturf,-5,44,52,69.5,37.5,0,69.5,BUF
SEA,20101205,outdoors,fieldturf ,-5,40,45,45,0,6,41.71285125,CAR
DET,20101205,Indoors,fieldturf ,-5.5,43.5,44,69.5,37.5,0,69.5,CHI
MIA,20101205,outdoors,grass ,-6,43.5,23,76,52,10,76,CLE
IND,20101205,Indoors,fieldturf ,-5.5,48,73,69.5,37.5,0,69.5,DAL
NE,20101206,outdoors,fieldturf ,-4,44.5,48,27,0,16,14.79724688,NYJ
TEN,20101209,outdoors,grass ,-4,44,58,35,46,6,29.80355158,IND
DAL,20101212,Indoors,matrixturf,-4,51,57,69.5,37.5,0,69.5,PHI
JAC,20101212,outdoors,grass ,-3.5,41.5,69,54,86,15,49.7675122,OAK
NO,20101212,Indoors,sportturf,-9,47,44,69.5,37.5,0,69.5,STL
SF,20101212,outdoors,grass ,-5,43,61,55,90,3,55,SEA
WAS,20101212,outdoors,grass ,-1.5,41.5,33,43,96,5,39.99608131,TB
CHI,20101212,outdoors,grass ,-3,37,43,26,81,30,9.447604887,NE
NYJ,20101212,outdoors,fieldturf,-5.5,38,16,53,83,8,50.41881855,MIA
SD,20101212,outdoors,grass ,-10,45.5,31,86,22,5,86,KC
CAR,20101212,outdoors,grass ,-7.5,41,41,44,94,14,37.24591775,ATL
PIT,20101212,outdoors,grass ,-8,39.5,30,37,89,8,30.93477187,CIN
BUF,20101212,outdoors,astroplay ,,39,19,36,95,6,30.99448155,CLE
ARI,20101212,Indoors,grass ,-4,44,56,69.5,37.5,0,69.5,DEN
DET,20101212,Indoors,fieldturf ,-7,46,10,69.5,37.5,0,69.5,GB
HOU,20101213,Indoors,grass ,-3,47,62,69.5,37.5,0,69.5,BAL
MIN,20101213,Indoors,fieldturf ,-5.5,44,24,69.5,37.5,0,69.5,NYG
SD,20101216,outdoors,grass ,-10.5,45,41,56,69,7,54.42026751,SF
IND,20101219,Indoors,fieldturf ,-4.5,48,58,69.5,37.5,0,69.5,JAC
STL,20101219,Indoors,astroplay ,-3,42.5,40,69.5,37.5,0,69.5,KC
BAL,20101219,outdoors,fieldturf ,-2.5,44.5,54,34,40,12,25.29827728,NO
PIT,20101219,outdoors,grass ,-4,35.5,39,25,62,9,15.65673916,NYJ
NYG,20101219,outdoors,fieldturf,-3,47,69,33,58,6,27.42169164,PHI
DAL,20101219,Indoors,matrixturf,-9.5,44.5,63,69.5,37.5,0,69.5,WAS
TEN,20101219,outdoors,grass ,-1,47,48,36,56,4,32.69799002,HOU
NE,20101219,outdoors,fieldturf ,-14.5,43.5,58,32,0,8,24.84600728,GB
TB,20101219,outdoors,grass ,-4,43,43,54,96,10,50.9945053,DET
OAK,20101219,outdoors,grass ,-8,42,62,55,0,0,55,DEN
CAR,20101219,outdoors,grass ,-2.5,37.5,31,42,57,6,38.14006135,ARI
CIN,20101219,outdoors,fieldturf ,,41,36,28,59,8,19.97499561,CLE
MIA,20101219,outdoors,grass ,-5.5,40,31,67,74,18,66.09396925,BUF
SEA,20101219,outdoors,fieldturf ,-6,46.5,52,45,0,2,45,ATL
MIN,20101220,outdoors,fieldturf,-7,33,54,23,0,17,9.252836708,CHI
PIT,20101223,outdoors,grass ,-14.5,38,30,27,70,11,16.99233557,CAR
ARI,20101225,Indoors,grass ,-7.5,45,53,69.5,37.5,0,69.5,DAL
JAC,20101226,outdoors,grass ,-6.5,45,37,38,64,18,28.38355191,WAS
STL,20101226,Indoors,astroplay ,-2.5,40,42,69.5,37.5,0,69.5,SF
TB,20101226,outdoors,grass ,-6,43.5,53,49,56,16,43.12633262,SEA
CIN,20101226,outdoors,fieldturf ,-8,43.5,54,29,62,16,17.37261831,SD
CLE,20101226,outdoors,grass ,-4,40,30,26,73,18,12.77924129,BAL
KC,20101226,outdoors,grass ,-4,42.5,48,19,77,7,9.829751545,TEN
CHI,20101226,outdoors,grass ,-3,36,72,33,85,9,25.48950733,NYJ
GB,20101226,outdoors,grass ,-3,43,62,25,74,5,18.85402261,NYG
OAK,20101226,outdoors,grass ,-2.5,47.5,57,58,65,5,57.61446355,IND
MIA,20101226,outdoors,grass ,-3.5,41,61,69,47,22,68.3707273,DET
DEN,20101226,outdoors,grass ,-2.5,49.5,47,50,18,7,47.18937303,HOU
BUF,20101226,outdoors,astroplay ,-9,45.5,37,22,69,16,8.358818298,NE
ATL,20101227,Indoors,fieldturf ,-2.5,49.5,31,69.5,37.5,0,69.5,NO
PHI,20101228,outdoors,grass ,-14.5,44.5,38,32,46,10,23.72714426,MIN
WAS,20110102,outdoors,grass ,-4,44.5,31,37,79,7,31.52243499,NYG
IND,20110102,Indoors,fieldturf ,-9.5,48,43,69.5,37.5,0,69.5,TEN
CLE,20110102,outdoors,grass ,-6.5,38,50,25,51,14,13.04744915,PIT
KC,20110102,outdoors,grass ,-4.5,43.5,41,30,40,12,20.26741017,OAK
SEA,20110102,outdoors,fieldturf ,-3,41.5,22,34,0,4,30.38766741,STL
DEN,20110102,outdoors,grass ,-3.5,47.5,61,42,22,4,39.62895788,SD
NO,20110102,Indoors,sportturf,-7,47,36,69.5,37.5,0,69.5,TB
DET,20110102,Indoors,fieldturf ,-3.5,43.5,33,69.5,37.5,0,69.5,MIN
NE,20110102,outdoors,fieldturf ,-6,44,45,47,91,5,44.69431657,MIA
NYJ,20110102,outdoors,fieldturf,-1.5,38,45,48,78,5,45.86887539,BUF
ATL,20110102,Indoors,fieldturf ,-14.5,41.5,41,69.5,37.5,0,69.5,CAR
GB,20110102,outdoors,grass ,-10.5,43.5,13,19,49,14,5.405827487,CHI
BAL,20110102,outdoors,fieldturf ,-9.5,43,20,51,73,7,48.39452211,CIN
SF,20110102,outdoors,grass ,-6,39,45,49,85,3,48.54635433,ARI
PHI,20110102,outdoors,grass ,,43.5,27,40,66,10,33.64254828,DAL
HOU,20110102,Indoors,grass ,-4,48,51,69.5,37.5,0,69.5,JAC
SEA,20110108,outdoors,fieldturf ,-10,46,77,40,0,8,34.58803062,NO
IND,20110108,Indoors,fieldturf ,-2,44.5,33,69.5,37.5,0,69.5,NYJ
PHI,20110109,outdoors,grass ,-2.5,47,37,30,42,18,17.98067816,GB
KC,20110109,outdoors,grass ,-3,41,37,26,53,15,13.90393708,BAL
PIT,20110115,outdoors,grass ,-3,37,55,36,58,17,26.07716525,BAL
ATL,20110115,Indoors,fieldturf ,-1.5,43.5,69,69.5,37.5,0,69.5,GB
NE,20110116,outdoors,fieldturf ,-9.5,45,49,30,0,14,19.4154672,NYJ
CHI,20110116,outdoors,grass ,-10,43,59,24,55,4,18.83605431,SEA
CHI,20110123,outdoors,grass ,-3.5,42.5,35,20,34,14,6.679431098,GB
PIT,20110123,outdoors,grass ,-4,38,43,17,44,10,5.13576173,NYJ
GB,20110206,Indoors,grass ,-3,45,56,69.5,37.5,0,69.5,PIT
GB,20110908,outdoors,grass ,-5,48,76,68,67,5,68,NO
CLE,20110911,outdoors,grass ,-7,36.5,44,72,0,9,72,CIN
ARI,20110911,Indoors,grass ,-7,37.5,49,69.5,37.5,0,69.5,CAR
STL,20110911,Indoors,astroplay,-4,44.5,44,69.5,37.5,0,69.5,PHI
SF,20110911,outdoors,grass ,-6,38,50,68,63,15,67.69929976,SEA
WAS,20110911,outdoors,grass ,-2,40,42,87,38,5,87,NYG
NYJ,20110911,outdoors,fieldturf,-6,41,51,70,89,6,70,DAL
SD,20110911,outdoors,grass ,-8.5,43,41,74,52,7,74,MIN
CHI,20110911,outdoors,grass ,-1.5,41,42,76,57,7,76,ATL
HOU,20110911,Indoors,grass ,-9,44,41,69.5,37.5,0,69.5,IND
BAL,20110911,outdoors,sportturf,-1.5,37,42,75,71,2,75,PIT
KC,20110911,outdoors,grass ,-3.5,40,48,75,65,0,75,BUF
TB,20110911,outdoors,grass ,-1.5,43.5,47,86,55,6,86,DET
JAC,20110911,outdoors,grass ,-1.5,38,30,87,52,5,87,TEN
MIA,20110912,outdoors,grass ,-7.5,47,62,82,73,11,82,NE
DEN,20110912,outdoors,grass ,-3,42,43,75,29,6,75,OAK
BUF,20110918,outdoors,a_turf,-4,41,73,65,47,5,65,OAK
SF,20110918,outdoors,grass ,-3,41.5,51,70,60,3,70,DAL
ATL,20110918,Indoors,fieldturf ,-2.5,49.5,66,69.5,37.5,0,69.5,PHI
PIT,20110918,outdoors,grass ,-14,40,24,63,59,12,61.77206387,SEA
MIA,20110918,outdoors,grass ,-3,47.5,36,87,59,15,87,HOU
NE,20110918,outdoors,fieldturf ,-7,53.5,56,63,0,12,61.77206387,SD
CAR,20110918,outdoors,grass ,-11,45,53,64,67,11,63.20240712,GB
NO,20110918,Indoors,sportturf,-5,46.5,43,69.5,37.5,0,69.5,CHI
NYJ,20110918,outdoors,fieldturf,-9,38.5,35,66,71,12,65.5452142,JAC
IND,20110918,Indoors,fieldturf ,-1.5,39,46,69.5,37.5,0,69.5,CLE
MIN,20110918,Indoors,sportturf,-1,41,44,69.5,37.5,0,69.5,TB
DET,20110918,Indoors,fieldturf ,-9,45,51,69.5,37.5,0,69.5,KC
WAS,20110918,outdoors,grass ,-4.5,45,43,66,71,7,66,ARI
TEN,20110918,outdoors,grass ,-6,39,39,76,54,11,76,BAL
DEN,20110918,outdoors,grass ,-3,41,46,69,27,6,69,CIN
NYG,20110919,outdoors,fieldturf,-7,44,44,60,72,6,59.57680077,STL
CHI,20110925,outdoors,grass ,-5,45.5,44,61,85,10,59.67048382,GB
CLE,20110925,outdoors,grass ,-2,42.5,33,70,72,5,70,MIA
NO,20110925,Indoors,sportturf,-4,51,73,69.5,37.5,0,69.5,HOU
CIN,20110925,outdoors,fieldturf ,-1,38.5,21,71,61,2,71,SF
SEA,20110925,outdoors,fieldturf ,-3,43,23,68,0,20,67.21399195,ARI
IND,20110925,Indoors,fieldturf ,-11,39.5,43,69.5,37.5,0,69.5,PIT
SD,20110925,outdoors,grass ,-14.5,44.5,37,67,68,8,67,KC
STL,20110925,Indoors,astroplay,-6,42,44,69.5,37.5,0,69.5,BAL
TEN,20110925,outdoors,grass ,-7,44,31,73,51,11,73,DEN
TB,20110925,outdoors,grass ,-1,45,29,89,94,9,89,ATL
BUF,20110925,outdoors,a_turf,-7.5,54.5,65,78,60,8,78,NE
PHI,20110925,outdoors,grass ,-8,46.5,45,76,79,5,76,NYG
OAK,20110925,outdoors,grass ,-3,41,58,70,70,7,70,NYJ
MIN,20110925,Indoors,sportturf,-3,45,49,69.5,37.5,0,69.5,DET
CAR,20110925,outdoors,grass ,-3.5,43.5,26,75,87,4,75,JAC
DAL,20110926,Indoors,matrixturf,-3.5,45,34,69.5,37.5,0,69.5,WAS
OAK,20111002,outdoors,grass ,-6.5,55.5,50,71,50,6,71,NE
GB,20111002,outdoors,grass ,-12,46.5,72,67,37,10,67,DEN
CHI,20111002,outdoors,grass ,-7,42,63,60,50,8,58.94308897,CAR
PHI,20111002,outdoors,grass ,-10,43.5,47,54,78,20,48.84738893,SF
BAL,20111002,outdoors,sportturf,-5,43.5,51,51,66,6,48.85843106,NYJ
CLE,20111002,outdoors,grass ,-1.5,37.5,44,48,0,24,40.24791853,TEN
CIN,20111002,outdoors,fieldturf ,-3,43,43,57,48,13,54.00742368,BUF
STL,20111002,Indoors,astroplay,-3,44,27,69.5,37.5,0,69.5,WAS
KC,20111002,outdoors,grass ,-3,40,39,65,40,7,65,MIN
DAL,20111002,Indoors,matrixturf,-2.5,46.5,64,69.5,37.5,0,69.5,DET
HOU,20111002,Indoors,grass ,-4,46.5,27,69.5,37.5,0,69.5,PIT
JAC,20111002,outdoors,grass ,-9,45,33,71,40,5,71,NO
SEA,20111002,outdoors,fieldturf ,-6,39,58,58,0,0,58,ATL
SD,20111002,outdoors,grass ,-7,45,42,84,32,9,84,MIA
ARI,20111002,Indoors,grass ,-1.5,45,58,69.5,37.5,0,69.5,NYG
TB,20111003,outdoors,grass ,-10,40.5,41,80,56,0,80,IND
ATL,20111009,Indoors,fieldturf ,-6.5,53,39,69.5,37.5,0,69.5,GB
CAR,20111009,outdoors,grass ,-6.5,51.5,57,68,50,12,68,NO
MIN,20111009,Indoors,sportturf,-3.5,45,44,69.5,37.5,0,69.5,ARI
BUF,20111009,outdoors,a_turf,-3,53,55,74,47,6,74,PHI
PIT,20111009,outdoors,grass ,-3,40,55,70,53,3,70,TEN
JAC,20111009,outdoors,grass ,-2.5,37,50,79,68,15,79,CIN
NE,20111009,outdoors,fieldturf ,-7.5,50,51,82,40,9,82,NYJ
SF,20111009,outdoors,grass ,-3,41.5,51,62,75,6,61.9586607,TB
DEN,20111009,outdoors,grass ,-3.5,46.5,53,52,45,6,50.04936103,SD
HOU,20111009,Indoors,grass ,-4.5,48.5,45,69.5,37.5,0,69.5,OAK
NYG,20111009,outdoors,fieldturf,-10,43.5,61,81,42,4,81,SEA
IND,20111009,Indoors,fieldturf ,-1.5,38,52,69.5,37.5,0,69.5,KC
DET,20111010,Indoors,fieldturf ,-7,47,37,69.5,37.5,0,69.5,CHI
NE,20111016,outdoors,fieldturf ,-7,54.5,36,63,0,8,62.59634772,DAL
OAK,20111016,outdoors,grass ,-6.5,45,41,71,60,8,71,CLE
WAS,20111016,outdoors,grass ,-3,46.5,33,68,26,7,68,PHI
BAL,20111016,outdoors,sportturf,-7,43.5,43,72,29,10,72,HOU
CIN,20111016,outdoors,fieldturf ,-4.5,40.5,44,71,41,16,71,IND
TB,20111016,outdoors,grass ,-6.5,49.5,46,84,0,11,84,NO
CHI,20111016,outdoors,grass ,-2.5,42,49,56,48,11,53.2110403,MIN
NYG,20111016,outdoors,fieldturf,-3,49,51,65,40,15,63.85677386,BUF
GB,20111016,outdoors,grass ,-14,47.5,27,57,41,23,52.3673932,STL
PIT,20111016,outdoors,grass ,-12.5,40,30,58,52,10,55.95220731,JAC
ATL,20111016,Indoors,fieldturf ,-3.5,49.5,48,69.5,37.5,0,69.5,CAR
DET,20111016,Indoors,fieldturf ,-5,45,44,69.5,37.5,0,69.5,SF
NYJ,20111017,outdoors,fieldturf,-7.5,41.5,30,62,37,12,60.51434709,MIA
MIA,20111023,outdoors,grass ,-1,41.5,33,77,57,9,77,DEN
CLE,20111023,outdoors,grass ,-3,41,9,56,53,7,54.42026751,SEA
ARI,20111023,Indoors,grass ,-4.5,46.5,52,69.5,37.5,0,69.5,PIT
OAK,20111023,outdoors,grass ,-3.5,41.5,28,79,46,6,79,KC
DAL,20111023,Indoors,matrixturf,-14,43,41,69.5,37.5,0,69.5,STL
NYJ,20111023,outdoors,fieldturf,-1,43.5,48,58,46,0,58,SD
TEN,20111023,outdoors,grass ,-2.5,44,48,72,35,0,72,HOU
TB,20111023,outdoors,grass ,-2,44,42,62,54,15,60.01424795,CHI
NO,20111023,Indoors,sportturf,-14,49,69,69.5,37.5,0,69.5,IND
MIN,20111023,Indoors,sportturf,-11,47,60,69.5,37.5,0,69.5,GB
DET,20111023,Indoors,fieldturf ,-4.5,47,39,69.5,37.5,0,69.5,ATL
CAR,20111023,outdoors,grass ,-2.5,44.5,53,62,56,0,62,WAS
JAC,20111024,outdoors,grass ,-10.5,39,19,60,77,0,60,BAL
SF,20111030,outdoors,grass ,-9.5,38.5,30,67,68,5,67,CLE
NYG,20111030,outdoors,fieldturf,-10,43.5,37,41,55,12,34.10229474,MIA
DEN,20111030,outdoors,grass ,-3.5,43.5,55,56,31,5,55.26534592,DET
PIT,20111030,outdoors,grass ,-3,52,42,40,79,3,38.36596746,NE
PHI,20111030,outdoors,grass ,-3,49.5,41,42,64,5,38.82152249,DAL
BAL,20111030,outdoors,sportturf,-11.5,43,57,48,49,9,43.92594763,ARI
BUF,20111030,Indoors,a_turf,-4,46.5,23,69.5,37.5,0,69.5,WAS
SEA,20111030,outdoors,fieldturf ,-1.5,37.5,46,56,0,14,52.52916108,CIN
TEN,20111030,outdoors,grass ,-7.5,43.5,37,62,35,0,62,IND
STL,20111030,Indoors,astroplay,-14,48.5,52,69.5,37.5,0,69.5,NO
CAR,20111030,outdoors,grass ,-3,47,45,54,52,6,52.43122096,MIN
HOU,20111030,Indoors,grass ,-10,41,38,69.5,37.5,0,69.5,JAC
KC,20111031,outdoors,grass ,-3,44.5,43,63,31,0,63,SD
OAK,20111106,outdoors,grass ,-7.5,42.5,62,62,50,5,62,DEN
WAS,20111106,outdoors,grass ,-4.5,37.5,30,56,48,6,54.8130809,SF
BUF,20111106,outdoors,a_turf,-2.5,45,38,57,26,8,55.28983022,NYJ
HOU,20111106,Indoors,grass ,-10.5,41,42,69.5,37.5,0,69.5,CLE
ARI,20111106,Indoors,grass ,-3,41.5,32,69.5,37.5,0,69.5,STL
NE,20111106,outdoors,fieldturf ,-9,51,44,54,0,9,51.30052375,NYG
KC,20111106,outdoors,grass ,-4,40.5,34,62,45,12,60.51434709,MIA
DAL,20111106,Indoors,matrixturf,-11,45,36,69.5,37.5,0,69.5,SEA
IND,20111106,Indoors,fieldturf ,-7,45.5,38,69.5,37.5,0,69.5,ATL
SD,20111106,outdoors,grass ,-6,51,83,53,90,10,49.7550798,GB
TEN,20111106,outdoors,grass ,-3,41.5,41,68,39,13,67.93251176,CIN
PIT,20111106,outdoors,grass ,-3.5,42,43,50,43,2,50,BAL
NO,20111106,Indoors,sportturf,-9,50.5,43,69.5,37.5,0,69.5,TB
PHI,20111107,outdoors,grass ,-8,47.5,54,51,74,2,51,CHI
SD,20111110,outdoors,grass ,-7,48,41,69,27,5,69,OAK
MIA,20111113,outdoors,grass ,-4,38,29,79,58,19,79,WAS
KC,20111113,outdoors,grass ,-3.5,42.5,27,67,23,15,66.4184578,DEN
NYJ,20111113,outdoors,fieldturf,-2.5,47,53,58,37,12,55.48347997,NE
ATL,20111113,Indoors,fieldturf ,-1,50,49,69.5,37.5,0,69.5,NO
